Model,MAE,RMSE,WMAE
ARMA,1659248.391329724,2269452.205041817,1548968.5809185994
SARMA,2128561.3201319478,2503806.786529661,1796993.0240076105
Prophet,1129394.2543526078,1579196.9702998358,1302525.2879438056
LSTM,1888997.022941177,2073684.778814493,1921376.506190477
